time_step,workload,capacity,cpu_usage,overloaded
0,40.76179269938608,2,100.0,True
1,40.53337057350637,2,100.0,True
2,48.093375168637515,2,100.0,True
3,51.554525608094984,2,100.0,True
4,47.16625388090829,3,100.0,True
5,51.43918254015603,3,100.0,True
6,57.433278656135435,3,100.0,True
7,58.47222458853578,3,100.0,True
8,61.06619524378965,4,100.0,True
9,60.488066492716534,4,100.0,True
10,65.9749078445359,4,100.0,True
11,66.5016611067896,4,100.0,True
12,65.11574495460984,5,100.0,True
13,67.76877122812688,5,100.0,True
14,65.72595462384733,5,100.0,True
15,61.62818175017075,5,100.0,True
16,63.54255327185673,6,100.0,True
17,58.710991635477875,6,97.85165272579646,True
18,61.45895682266292,6,100.0,True
19,56.98886287075159,6,94.98143811791931,True
20,54.23247539844868,7,77.47496485492668,False
21,50.34151799153303,7,71.91645427361861,False
22,52.259467163802036,7,74.65638166257433,False
23,45.830923473949376,7,65.47274781992768,False
24,42.06251128369985,8,52.57813910462481,False
25,39.119666123779425,8,48.899582654724284,False
26,38.19744212477576,8,47.7468026559697,False
27,34.69636298178883,8,43.37045372723603,False
28,31.828717711873022,9,35.36524190208114,False
29,29.033210654976823,9,32.25912294997425,False
30,30.65948769486434,9,34.066097438738154,False
31,21.870284810821254,9,24.30031645646806,False
32,19.45656210792642,10,19.45656210792642,False
33,16.857370041829924,10,16.857370041829924,False
34,18.919272244788242,10,18.919272244788242,False
35,19.04601782442339,10,19.04601782442339,False
36,15.157950087645595,11,13.77995462513236,False
37,12.948940596886892,11,11.771764178988084,False
38,12.988128750065114,11,11.807389772786467,False
39,17.069300701344535,11,15.517546092131395,False
40,18.081722520629764,10,18.081722520629764,False
41,18.737209359112487,10,18.737209359112487,False
42,17.22802759422789,10,17.22802759422789,False
43,21.31757223827206,10,21.31757223827206,False
44,23.178036874634596,9,25.753374305149553,False
45,25.852090184510697,9,28.72454464945633,False
46,30.13473009232757,9,33.48303343591952,False
47,31.35587505481976,9,34.839861172021955,False
48,35.48003672855835,8,44.35004591069794,False
49,37.035616834614615,8,46.29452104326827,False
50,40.722798496724955,8,50.9034981209062,False
51,44.71155140370396,8,55.88943925462995,False
52,42.57435762948221,8,53.21794703685276,False
53,48.403935776223705,8,60.504919720279624,False
54,50.86791021681088,8,63.5848877710136,False
55,53.09743668670347,8,66.37179585837933,False
56,56.42582202015051,8,70.53227752518814,False
57,63.00018434748071,8,78.75023043435088,False
58,58.94362034831727,9,65.4929114981303,False
59,65.04137219812918,9,72.26819133125466,False
60,59.569238478339315,9,66.18804275371035,False
61,63.71996869325278,9,70.79996521472532,False
62,65.35755087346931,10,65.35755087346931,False
63,66.41622403910499,10,66.41622403910499,False
64,66.33524771769936,10,66.33524771769936,False
65,65.75978099537865,10,65.75978099537865,False
66,61.748863631029394,10,61.748863631029394,False
67,59.95231865588896,10,59.95231865588896,False
68,61.407770772537596,10,61.407770772537596,False
69,56.63541683601317,10,56.63541683601318,False
70,51.50541549896703,10,51.50541549896703,False
71,49.21062381753417,10,49.21062381753417,False
72,46.90448310211292,10,46.90448310211292,False
73,47.460149039255796,10,47.460149039255796,False
74,43.48939517928401,10,43.48939517928401,False
75,41.72621338516943,10,41.72621338516943,False
76,35.79853754505108,9,39.77615282783454,False
77,34.179102048570414,9,37.976780053967126,False
78,32.360862167801415,9,35.95651351977935,False
79,27.182791798156515,9,30.20310199795168,False
80,26.44730678658171,8,33.059133483227136,False
81,21.231507499116177,8,26.53938437389522,False
82,19.82953431419262,8,24.786917892740775,False
83,17.937457127453786,8,22.421821409317232,False
84,14.38972457437691,7,20.556749391967013,False
85,17.44101829458512,7,24.915740420835885,False
86,14.269312881275976,7,20.384732687537106,False
87,15.080567086112431,7,21.5436672658749,False
88,16.251198436557985,7,23.215997766511407,False
89,16.559146671857647,7,23.655923816939495,False
90,17.887049865053122,7,25.552928378647316,False
91,17.133109977075943,7,24.475871395822775,False
92,17.833556082339214,7,25.476508689056022,False
93,20.53787340333926,7,29.33981914762751,False
94,18.667986266887713,7,26.66855180983959,False
95,21.687587511630444,7,30.982267873757774,False
96,24.649409116571086,7,35.21344159510155,False
97,28.303769113879344,8,35.37971139234918,False
98,34.782188387687206,8,43.477735484609006,False
99,34.60297152249225,8,43.2537144031153,False
100,39.05459361490151,8,48.81824201862689,False
101,46.38140158357274,9,51.534890648414155,False
102,45.3265872514678,9,50.36287472385311,False
103,51.04690273828464,9,56.71878082031627,False
104,49.70979765251819,9,55.23310850279799,False
105,54.18103741264274,10,54.18103741264274,False
106,54.73862251094077,10,54.73862251094077,False
107,58.41524837964332,10,58.41524837964332,False
108,63.20896848119386,10,63.208968481193864,False
109,58.302375253669595,11,53.002159321517816,False
110,64.86247201624347,11,58.96588365113043,False
111,65.15152027404791,11,59.228654794589005,False
112,63.465293321464806,11,57.69572120133164,False
113,61.33552357473566,11,55.759566886123324,False
114,64.73750503750189,11,58.8522773068199,False
115,62.45268113471932,11,56.77516466792666,False
116,63.20236684003724,11,57.45669712730659,False
117,61.16282850135898,11,55.6025713648718,False
118,63.26727829769704,11,57.515707543360946,False
119,56.51528857953469,11,51.37753507230426,False
120,52.13588757575721,11,47.396261432506556,False
121,52.492030939933656,11,47.720028127212416,False
122,49.75310552704637,11,45.23009593367852,False
123,49.61521611722249,11,45.104741924747714,False
124,45.221108953894095,10,45.221108953894095,False
125,40.89217764787383,10,40.89217764787383,False
126,40.52492638894129,10,40.52492638894129,False
127,30.810845185071507,10,30.810845185071507,False
128,29.197507351008664,9,32.44167483445407,False
129,25.639718293943304,9,28.48857588215923,False
130,24.330844184798764,9,27.03427131644307,False
131,19.444606982892033,9,21.605118869880037,False
132,22.325046297641258,8,27.90630787205157,False
133,18.336245119702678,8,22.92030639962835,False
134,13.702307952092866,8,17.127884940116083,False
135,13.684639389602312,8,17.105799237002888,False
136,16.22660335040826,7,23.18086192915466,False
137,17.14464820902916,7,24.492354584327373,False
138,20.041159018522677,7,28.63022716931811,False
139,22.727474896801105,7,32.46782128114444,False
140,17.259610675811146,7,24.656586679730207,False
141,14.905478388269838,7,21.293540554671196,False
142,13.56168616062137,7,19.373837372316245,False
143,21.406447586464868,7,30.580639409235527,False
144,20.85396961350697,7,29.79138516215281,False
145,24.266975542238942,7,34.6671079174842,False
146,26.42591614980757,7,37.751308785439385,False
147,30.44490896684212,7,43.49272709548874,False
148,36.44770339784776,7,52.06814771121109,False
149,37.25929057950575,8,46.57411322438219,False
150,39.60341290740326,8,49.504266134254074,False
151,40.54419645704304,8,50.68024557130381,False
152,42.03053981736042,8,52.53817477170053,False
153,47.987344044433634,9,53.31927116048182,False
154,51.90938547549708,9,57.67709497277453,False
155,59.114456091261516,9,65.68272899029057,False
156,57.43936395189941,9,63.82151550211046,False
157,61.71967984695234,10,61.71967984695234,False
158,59.85995914120251,10,59.85995914120251,False
159,59.658316895607925,10,59.658316895607925,False
160,61.3636210017979,10,61.36362100179791,False
161,62.744116106877826,11,57.04010555170711,False
162,70.27184254179471,11,63.88349321981337,False
163,62.89720151264583,11,57.179274102405294,False
164,66.6534042775581,11,60.59400388868917,False
165,61.519094962161304,11,55.926449965601186,False
166,64.94960884383607,11,59.045098948941884,False
167,62.070575552815015,11,56.42779595710456,False
168,58.8712363252495,11,53.51930575022682,False
169,57.01177133287864,11,51.828883029889674,False
170,53.05766206873837,11,48.234238244307605,False
171,53.15902235624812,11,48.32638396022556,False
172,48.06565511626505,10,48.06565511626505,False
173,43.15323276970332,10,43.15323276970332,False
174,39.93848690330865,10,39.93848690330865,False
175,40.431469794305414,10,40.431469794305414,False
176,40.814397301918525,9,45.34933033546503,False
177,34.1827318548122,9,37.98081317201355,False
178,30.50029036760833,9,33.88921151956481,False
179,28.67072349646348,9,31.856359440514982,False
180,28.57037304695525,8,35.712966308694064,False
181,23.434778605192452,8,29.293473256490564,False
182,19.709850853520962,8,24.637313566901202,False
183,21.657523637599386,8,27.07190454699923,False
184,18.451214784503584,7,26.358878263576546,False
185,20.062977072611147,7,28.661395818015922,False
186,15.900904824837555,7,22.71557832119651,False
187,11.98815920999196,7,17.125941728559944,False
188,11.628933791179051,6,19.381556318631752,False
189,19.570138562360906,6,32.61689760393484,False
190,20.532751394579392,6,34.22125232429899,False
191,16.930525655142993,6,28.217542758571657,False
192,17.933833559609624,6,29.889722599349373,False
193,24.39077966121073,7,34.84397094458676,False
194,20.11870814667406,7,28.7410116381058,False
195,23.068551145298585,7,32.955073064712266,False
196,29.56447513417969,7,42.23496447739956,False
197,29.81037337573402,8,37.262966719667524,False
198,33.76994815407846,8,42.21243519259808,False
199,36.4580619145811,8,45.572577393226375,False
